Organisation_Key,Query_Name,Matched_Name,Company_ID,Activity_Code,Activity_Label,Headquarters_Department,Evidence_Source,Evidence_URL,Match_Status,Fetched_At,Validated_Sector,Validated_Via,Cache_Version
la quiberonnaise,La Quiberonnaise,LA QUIBERONNAISE SA,856500749,10.20Z,Industrie manufacturière,56,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=856500749,MATCHED,2026-08-16T20:20:24+04:00,Industrie / Manufacture,deterministic,3
lasante,LaSante.net,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:07:39+04:00,,,3
le bon materiel,Le Bon Matériel,LE BON MATERIEL,905068144,77.32Z,Activités de services administratifs et de soutien,972,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=905068144,MATCHED,2026-08-16T11:59:40+04:00,Services aux entreprises,deterministic,3
le lien autonomie,Le Lien Autonomie,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:07:39+04:00,,,3
le mans fc,Le Mans FC,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:07:39+04:00,,,3
le petit vapoteur,Le Petit Vapoteur,LE PETIT VAPOTEUR,539694364,47.91B,Commerce ; réparation d'automobiles et de motocycles,50,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=539694364,MATCHED,2026-08-16T20:20:24+04:00,Commerce / Distribution,deterministic,3
lenormant,Lenormant,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:33:10.917232+04:00,,,3
leroch distribution,Leroch Distribution,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:07:39+04:00,,,3
lire demain,Lire Demain,LIRE DEMAIN,522813815,46.49Z,Commerce ; réparation d'automobiles et de motocycles,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=522813815,MATCHED,2026-08-16T11:59:40+04:00,Commerce / Distribution,deterministic,3
location etudiant,Location-Etudiant,LOCATION ETUDIANT(E),952220069,68.20A,Activités immobilières,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=952220069,MATCHED,2026-08-16T11:59:40+04:00,Construction / BTP,deterministic,3
loutz,Loutz,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:07:39+04:00,,,3
lovys,Lovys,LOVYS,832028021,66.22Z,Activités financières et d'assurance,93,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=832028021,MATCHED,2026-08-16T20:20:24+04:00,Finance / Assurance,deterministic,3
lyleoo,Lyleoo,LYLEOO,948866637,62.01Z,Information et communication,06,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=948866637,MATCHED,2026-08-16T20:20:24+04:00,Numérique / Technologie,deterministic,3
macif,Macif,MACIF,781452511,65.12Z,Activités financières et d'assurance,79,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=781452511,MATCHED,2026-08-16T11:59:40+04:00,Finance / Assurance,deterministic,3
made in design,Made in Design,MADE IN DESIGN,424474609,47.91B,Commerce ; réparation d'automobiles et de motocycles,38,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=424474609,MATCHED,2026-08-16T11:59:40+04:00,Commerce / Distribution,deterministic,3
mairie d injoux genissiat,Mairie d'Injoux-Génissiat,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:07:39+04:00,,,3
mairie de drancy,Mairie de Drancy,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:07:39+04:00,,,3
mairie de rinxent,Mairie de Rinxent,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:33:10.917232+04:00,,,3
mairie de sixt sur aff,Mairie de Sixt-sur-Aff,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:07:39+04:00,,,3
mcdonald s,McDonald's France,MCDONALD'S FRANCE,722003936,68.20B,Activités immobilières,78,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=722003936,MATCHED,2026-08-16T11:59:40+04:00,Construction / BTP,deterministic,3
metropole d aix marseille provence,Métropole Marseille-Provence,METROPOLE D'AIX-MARSEILLE-PROVENCE,200054807,84.11Z,Administration publique,13,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=200054807,MATCHED,2026-08-16T20:20:24+04:00,Administration / Collectivité,deterministic,3
mileade,Miléade,MILEADE,843049040,55.20Z,Hébergement et restauration,43,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=843049040,MATCHED,2026-08-16T20:20:24+04:00,,llm_declined,3
ministere de l interieur,Ministère de l’intérieur,MINISTERE DE L'INTERIEUR ,110014016,84.11Z,Administration publique,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=110014016,MATCHED,2026-08-16T11:59:40+04:00,,,3
ministere des sports de la jeunesse et de la vie associative,"Ministère des Sports, de la Jeunesse et de la Vie associative","MINISTERE DES SPORTS, DE LA JEUNESSE ET DE LA VIE ASSOCIATIVE ",130016587,84.11Z,Administration publique,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=130016587,MATCHED,2026-08-16T11:59:40+04:00,,,3
mondial relay,Mondial Relay,MONDIAL RELAY,385218631,52.29A,Transports et entreposage,59,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=385218631,MATCHED,2026-08-16T20:20:24+04:00,Transport / Logistique,deterministic,3
moulin roty,Moulin Roty,MOULIN ROTY,320722143,32.40Z,Industrie manufacturière,44,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=320722143,MATCHED,2026-08-16T11:59:40+04:00,Industrie / Manufacture,deterministic,3
mutuelle entrain,Mutuelle Entrain,MUTUELLE ENTRAIN,775558778,65.12Z,Activités financières et d'assurance,13,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=775558778,MATCHED,2026-08-16T11:59:40+04:00,Finance / Assurance,deterministic,3
mutuelle generale de prevoyance,Mutuelle Générale de Prévoyance,MUTUELLE GENERALE DE PREVOYANCE,337682660,65.12Z,Activités financières et d'assurance,74,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=337682660,MATCHED,2026-08-16T11:59:40+04:00,Finance / Assurance,deterministic,3
mvision,MVision,,,,,,recherche-entreprises.api.gouv.fr,,AMBIGUOUS,2026-08-17T08:07:39+04:00,,,3
my piscine,My Piscine,MY PISCINE,920301876,43.99D,Construction,69,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=920301876,MATCHED,2026-08-16T11:59:40+04:00,Construction / BTP,deterministic,3
office francais de l immigration et de l integration,Office Français de l’Immigration et de l’intégration,OFFICE FRANCAIS DE L'IMMIGRATION ET DE L'INTEGRATION,180034027,84.12Z,Administration publique,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=180034027,MATCHED,2026-08-16T20:20:24+04:00,Administration / Collectivité,deterministic,3
office francais de la biodiversite,Office Français de la Biodiversité,OFFICE FRANCAIS DE LA BIODIVERSITE,130025919,84.13Z,Administration publique,94,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=130025919,MATCHED,2026-08-16T20:20:24+04:00,Administration / Collectivité,deterministic,3
opquast,OpQuast,OPQUAST SAS,433890704,62.02A,Information et communication,33,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=433890704,MATCHED,2026-08-16T20:20:24+04:00,Numérique / Technologie,deterministic,3
orisha insurance,Orisha Insurance,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:07:39+04:00,,,3
parcoursup,Parcoursup,PARCOURSUP,130024805,84.11Z,Administration publique,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=130024805,MATCHED,2026-08-16T11:59:40+04:00,Administration / Collectivité,deterministic,3
petit gramme,Petit Gramme,PETIT GRAMME,834782302,47.78C,Commerce ; réparation d'automobiles et de motocycles,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=834782302,MATCHED,2026-08-17T08:33:10.917232+04:00,Commerce / Distribution,deterministic,3
pierre herme,Pierre Hermé,PIERRE HERME,434962015,70.22Z,"Activités spécialisées, scientifiques et techniques",75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=434962015,MATCHED,2026-08-16T20:20:24+04:00,Services aux entreprises,deterministic,3
planity,Planity,PLANITY,821511128,47.91A,Commerce ; réparation d'automobiles et de motocycles,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=821511128,MATCHED,2026-08-16T11:59:40+04:00,Commerce / Distribution,deterministic,3
poulpiquet immobilier,Poulpiquet immobilier,POULPIQUET IMMOBILIER,512711375,68.31Z,Activités immobilières,44,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=512711375,MATCHED,2026-08-16T11:59:40+04:00,Construction / BTP,deterministic,3
prelys courtage,Prelys Courtage,PRELYS COURTAGE,792577157,66.19B,Activités financières et d'assurance,37,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=792577157,MATCHED,2026-08-16T11:59:40+04:00,Finance / Assurance,deterministic,3
protexia france,Protexia France,PROTEXIA FRANCE,382276624,65.12Z,Activités financières et d'assurance,92,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=382276624,MATCHED,2026-08-16T20:20:24+04:00,Finance / Assurance,deterministic,3
publica,Publica,,,,,,recherche-entreprises.api.gouv.fr,,AMBIGUOUS,2026-08-17T08:07:39+04:00,,,3
questel,Questel SAS,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:07:39+04:00,,,3
rassemblement national,Rassemblement National,RASSEMBLEMENT NATIONAL,331309013,94.99Z,Autres activités de services,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=331309013,MATCHED,2026-08-16T11:59:40+04:00,,llm_declined,3
reflet2000,Reflet 2000,REFLET 2000,329476519,81.21Z,Activités de services administratifs et de soutien,91,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=329476519,MATCHED,2026-08-16T20:20:24+04:00,Services aux entreprises,deterministic,3
region occitanie,Région Occitanie,REGION OCCITANIE,200053791,84.11Z,Administration publique,31,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=200053791,MATCHED,2026-08-16T20:20:24+04:00,Administration / Collectivité,deterministic,3
relais colis,Relais Colis,RELAIS COLIS,785792433,52.29A,Transports et entreposage,94,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=785792433,MATCHED,2026-08-16T20:20:24+04:00,Transport / Logistique,deterministic,3
resaclick,Resaclick,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:07:39+04:00,,,3
reseau site,Réseau.site,RESEAU.SITE,852610633,70.22Z,"Activités spécialisées, scientifiques et techniques",75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=852610633,MATCHED,2026-08-16T20:20:24+04:00,Services aux entreprises,deterministic,3
ressourc brie,Ressourc'brie,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:07:39+04:00,,,3
roussel agri62,Roussel Agri 62,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:07:39+04:00,,,3
sante publique france,Santé publique France,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:07:39+04:00,,,3
savills france,Savills France,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:33:10.917232+04:00,,,3
scalingo,Scalingo,SCALINGO,808665483,63.11Z,Information et communication,67,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=808665483,MATCHED,2026-08-16T11:59:40+04:00,Numérique / Technologie,deterministic,3
setic pourtier,Setic Pourtier,SETIC POURTIER,342635570,28.99B,Industrie manufacturière,42,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=342635570,MATCHED,2026-08-17T08:07:39+04:00,Industrie / Manufacture,deterministic,3
sofinco,Sofinco,SOFINCO,393398664,64.20Z,Activités financières et d'assurance,972,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=393398664,MATCHED,2026-08-16T11:59:40+04:00,Finance / Assurance,deterministic,3
solly azar,Solly Azar,SOLLY AZAR,301726824,67.2Z,,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=301726824,MATCHED,2026-08-16T11:59:40+04:00,,,3
son video,Son-Video.com,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:33:10.917232+04:00,,,3
spiko,Spiko,SPIKO,953542958,62.01Z,Information et communication,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=953542958,MATCHED,2026-08-16T11:59:40+04:00,Numérique / Technologie,deterministic,3
stade francais,Stade Français Paris,,,,,,recherche-entreprises.api.gouv.fr,,AMBIGUOUS,2026-08-17T08:07:39+04:00,,,3
steam,Steam,,,,,,recherche-entreprises.api.gouv.fr,,AMBIGUOUS,2026-08-17T08:07:39+04:00,,,3
substack,Substack,SUBSTACK,844787531,62.02A,Information et communication,91,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=844787531,MATCHED,2026-08-16T20:20:24+04:00,Numérique / Technologie,deterministic,3
sun form,Sun Form,SUN FORM,434276671,96.02B,Autres activités de services,67,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=434276671,MATCHED,2026-08-16T20:20:24+04:00,,,3
supremebody,Supremebody,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:07:39+04:00,,,3
syadem,Syadem,SYADEM,789255320,62.01Z,Information et communication,33,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=789255320,MATCHED,2026-08-16T11:59:40+04:00,Numérique / Technologie,deterministic,3
techni contact,Techni-Contact,TECHNI CONTACT,315081299,60.09,Information et communication,73,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=315081299,MATCHED,2026-08-16T20:20:24+04:00,Numérique / Technologie,deterministic,3
terveo,TERVEO,TERVEO,824692347,47.91B,Commerce ; réparation d'automobiles et de motocycles,59,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=824692347,MATCHED,2026-08-16T11:59:40+04:00,Commerce / Distribution,deterministic,3
under armour,Under Armour,UNDER ARMOUR,492198460,46.49Z,Commerce ; réparation d'automobiles et de motocycles,,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=492198460,MATCHED,2026-08-16T20:20:24+04:00,Commerce / Distribution,deterministic,3
universite de nantes,Université de Nantes,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:07:39+04:00,,,3
valorissimo,Valorissimo,VALORISSIMO,834500241,68.31Z,Activités immobilières,92,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=834500241,MATCHED,2026-08-16T20:20:24+04:00,Construction / BTP,deterministic,3
verspieren,Verspieren,VERSPIEREN,321502049,66.22Z,Activités financières et d'assurance,59,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=321502049,MATCHED,2026-08-16T11:59:40+04:00,Finance / Assurance,deterministic,3
verychic,VeryChic,VERYCHIC,534393368,79.11Z,Activités de services administratifs et de soutien,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=534393368,MATCHED,2026-08-16T20:20:24+04:00,Services aux entreprises,deterministic,3
ville de gagny,Ville de Gagny,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:07:39+04:00,,,3
ville rinxent,ville-rinxent,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:33:10.917232+04:00,,,3
vivaticket,Vivaticket,VIVATICKET,343670832,62.01Z,Information et communication,86,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=343670832,MATCHED,2026-08-16T20:20:24+04:00,Numérique / Technologie,deterministic,3
voxaly,Voxaly,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:07:39+04:00,,,3
waltio,Waltio,WALTIO,847535655,58.29C,Information et communication,63,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=847535655,MATCHED,2026-08-16T20:20:24+04:00,Numérique / Technologie,deterministic,3
wemind,Wemind,WEMIND,810724393,66.22Z,Activités financières et d'assurance,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=810724393,MATCHED,2026-08-16T20:20:24+04:00,Finance / Assurance,deterministic,3
xplor resamania,Xplor Resamania,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T08:07:39+04:00,,,3
ymed,Ymed,YMED,843016023,62.01Z,Information et communication,33,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=843016023,MATCHED,2026-08-16T20:20:24+04:00,Numérique / Technologie,deterministic,3
zurfluh feller,Zurflüh-Feller,ZURFLUH FELLER,876750043,25.99B,Industrie manufacturière,25,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=876750043,MATCHED,2026-08-16T20:20:24+04:00,Industrie / Manufacture,deterministic,3
